term; C1; C2
 свидетельствовать ;0.0;0.0014561348965125168
 беспроводной ;0.0;0.0030494072625225853
 медведев ;0.03001107011283707;0.0
 высказывать ;0.0048456951254711;0.0
 предложение ;0.0059298411939483296;0.0
 учитывать ;0.0;0.0015005059429547979
 идти ;0.003139386746306088;0.0007067929452445347
 одновременный ;0.0;0.000882198268476181
 разработчик ;0.0;0.0025662469249230664
 iron ;0.0;0.004065876350030114
 следующий ;0.004404469566195281;0.0
 входить ;0.0;0.002787447635129822
 the ;0.0049377777018848375;0.000989025476363698
 монт ;0.006002214022567414;0.0
 улица ;0.0;0.0
 доступный ;0.0;0.0015005059429547979
 создание ;0.0;0.002787447635129822
 сыграть ;0.011331413458504774;0.0
 суметь ;0.0;0.0
 апр ;0.006231613399747714;0.0
 свой ;0.0169725283137884;0.0060148151565355195
 кирилл ;0.0;0.0
 смотреть ;0.004547565611633706;0.0
 классификация ;0.0;0.0015033746789526693
 состояние ;0.0;0.0017108445240659252
 венгрия ;0.006231613399747714;0.0
 иной ;0.0;0.002805546453605159
 энергоэффективный ;0.0;0.0
 континентальный ;0.011608881544883314;0.0
 это ;0.016613155200666647;0.00841561259733669
 пятница ;0.013509246355101883;0.0
 полуфинал ;0.0049941495064383815;0.0
 просто ;0.003501368491801853;0.0
 краснодар ;0.0;0.0
 методический ;0.0;0.001764396536952362
 гибридный ;0.0;0.001140816611761391
 тенденция ;0.0;0.0007461303678611407
 аварийность ;0.0;0.0
 ольга ;0.0048456951254711;0.0
 цент ;0.0;0.0
 интернет ;0.0;0.006840897456913686
 устройство ;0.0;0.008958175711392496
 соблюдать ;0.0;0.0012648234779355791
 громкий ;0.0;0.0010164690875075284
 продолжать ;0.0048291998202196675;0.0
 планировать ;0.0;0.0025096876632774213
 угарный ;0.0;0.001140816611761391
 прочитывать ;0.0;0.0009342788128660262
 волнительный ;0.007754874458291616;0.0
 польза ;0.0049941495064383815;0.0012503735796400887
 недавно ;0.0;0.0
 служить ;0.0;0.0012648234779355791
 территория ;0.0;0.0022606027739131528
 журналист ;0.01452621729578878;0.0014795119065583327
 лайков ;0.0;0.008416639360815477
 поэтому ;0.00633441991283707;0.0010922906967071456
 промежуток ;0.0;0.0012648234779355791
 отходить ;0.0;0.0021138615816067327
 сезон ;0.01437326570604939;0.0
 шанс ;0.004120180372989972;0.0
 замена ;0.0;0.0
 мотив ;0.0;0.0007024746061436067
 интерес ;0.00682827082043508;0.0023126138269626804
 rights ;0.0;0.0007024746061436067
 несколько ;0.0;0.0025798372393499623
 приходить ;0.006438251064618571;0.0
 палитрумлаб ;0.0;0.0025391136309826628
 инструмент ;0.0;0.0012648234779355791
 словацкий ;0.0;0.0
 мечтать ;0.004547565611633706;0.0
 офф ;0.009835006348494005;0.0
 руководство ;0.0049377777018848375;0.0023266192505400247
 голосовой ;0.0;0.005515331679426224
 мобильный ;0.0;0.008014633452258857
 кататься ;0.005790738281758129;0.0
 отдавать ;0.0;0.0
 ведомство ;0.0;0.003528793073904724
 меняться ;0.0;0.000882198268476181
 rabota ;0.0;0.000882198268476181
 утверждать ;0.0;0.0012840683453194624
 воздух ;0.0;0.0023924940899364413
 опасность ;0.0;0.0014561348965125168
 жесткий ;0.0;0.0012648234779355791
 миллионный ;0.0;0.0015033746789526693
 ракетка ;0.012004428045134827;0.0
 морской ;0.0;0.001140816611761391
 информационный ;0.0;0.005798600893466013
 надежность ;0.0;0.0012648234779355791
 устанавливать ;0.0;0.002281633223522782
 фигурный ;0.008912699823739548;0.0
 повестка ;0.012306022074184414;0.0
 объективный ;0.004083500003519881;0.0010922906967071456
 травма ;0.004604545791386224;0.0
 марка ;0.0;0.0012648234779355791
 asus ;0.0;0.0
 взаимодействие ;0.0;0.004099421433799116
 распродавать ;0.0;0.0
 двойной ;0.012004428045134827;0.0
 столичный ;0.0038453184206224704;0.0
 самостоятельно ;0.0;0.0014561348965125168
 гарантированный ;0.0;0.00221651925041389
 голомолзин ;0.0;0.001764396536952362
 машина ;0.0;0.0026739250766445437
 финансовый ;0.0;0.002787447635129822
 длинный ;0.0;0.0021138615816067327
 новак ;0.012004428045134827;0.0
 регулярный ;0.003501368491801853;0.0
 поделиться ;0.004547565611633706;0.0
 ровный ;0.0;0.0
 business ;0.0;0.0007024746061436067
 функционер ;0.004120180372989972;0.0
 отношение ;0.0;0.000882198268476181
 text ;0.0;0.0007024746061436067
 май ;0.0;0.0
 процесс ;0.0;0.0028754644476260477
 сборная ;0.01655346742565191;0.0
 странный ;0.006312479520611608;0.0
 объяснять ;0.0;0.0
 скоринговый ;0.0;0.002787447635129822
 мл ;0.0;0.0010164690875075284
 производить ;0.0;0.0008155703608242409
 неожиданно ;0.0;0.0
 написать ;0.004083500003519881;0.0023266192505400247
 апрель ;0.021495432144927638;0.004430021515691653
 титул ;0.00802428187913506;0.0
 лаборатория ;0.0;0.0016311407216484817
 оригинальный ;0.0;0.0
 активный ;0.0;0.0014561348965125168
 характеристика ;0.0;0.002047917418537772
 согласно ;0.0;0.0020036583630647143
 летательный ;0.0;0.0034224498352841727
 сигнальный ;0.0;0.0015033746789526693
 очаг ;0.0;0.003916388520019322
